,0,1,2
0,75.6,32.0,Low Temperature
1,75.4,32.0,Low Temperature
2,75.3,32.0,Low Temperature
3,75.8,32.0,Low Temperature
4,75.9,32.0,Low Temperature
5,76.2,32.0,Low Temperature
6,64.8,32.1,Low Temperature
7,74.9,32.1,Low Temperature
8,67.1,32.2,Low Temperature
9,75.6,32.2,Low Temperature
10,76.4,32.2,Low Temperature
11,76.4,32.2,Low Temperature
12,76.4,32.2,Low Temperature
13,76.0,32.2,Low Temperature
14,75.3,32.2,Low Temperature
15,75.5,32.3,Low Temperature
16,95.0,33.7,High Temperature
17,95.0,34.4,High Temperature
18,95.0,34.8,High Temperature
19,95.0,35.2,High Temperature
20,95.0,35.1,High Temperature
21,95.0,34.8,High Temperature
22,79.2,34.6,neutral
23,74.2,34.4,neutral
24,78.2,34.6,neutral
25,89.2,34.5,neutral
26,96.9,34.1,High Temperature
27,95.0,34.4,High Temperature
28,80.0,34.4,neutral
29,95.0,34.5,High Temperature
30,76.2,34.5,neutral
31,93.7,34.7,High Temperature
32,95.0,34.8,High Temperature
33,95.0,34.7,High Temperature
34,95.0,34.4,High Temperature
35,95.0,34.4,High Temperature
36,95.0,34.5,High Temperature
37,95.0,34.4,High Temperature
38,80.3,33.7,neutral
39,75.1,33.5,neutral
40,91.6,33.5,High Temperature
41,97.7,33.3,High Temperature
42,95.0,33.5,High Temperature
43,95.0,33.2,High Temperature
44,95.0,33.4,High Temperature
45,81.0,33.7,neutral
46,75.8,33.5,neutral
47,74.9,33.5,neutral
48,93.7,33.4,High Temperature
49,95.0,33.4,High Temperature
50,95.0,34.6,High Temperature
51,95.0,34.9,High Temperature
52,95.0,35.0,High Temperature
53,95.0,35.3,High Temperature
54,95.0,35.6,High Temperature
55,95.0,35.4,High Temperature
56,95.0,35.5,High Temperature
57,81.5,35.3,neutral
58,79.4,35.0,neutral
59,95.0,34.8,High Temperature
60,95.0,34.6,High Temperature
61,95.0,34.4,High Temperature
62,95.0,34.2,High Temperature
63,95.0,34.0,High Temperature
64,95.0,33.8,High Temperature
65,95.0,33.7,High Temperature
66,95.0,33.5,High Temperature
67,95.0,33.4,High Temperature
68,95.0,33.2,High Temperature
69,95.0,33.0,neutral
70,95.0,32.9,neutral
71,95.0,32.9,neutral
72,95.0,32.8,neutral
73,95.0,32.7,neutral
74,95.0,32.6,neutral
75,95.0,32.5,neutral
76,95.0,32.5,neutral
77,95.0,32.4,neutral
78,95.0,32.3,neutral
79,95.0,32.3,neutral
80,95.0,32.2,neutral
81,95.0,32.2,neutral
82,95.0,32.1,neutral
83,95.0,32.1,neutral
84,95.0,32.0,neutral
85,95.0,32.0,neutral
86,98.3,31.9,neutral
87,97.8,31.9,neutral
88,97.3,31.9,neutral
89,96.3,31.9,neutral
90,95.8,31.8,neutral
91,95.3,31.8,neutral
92,94.8,31.8,neutral
93,94.3,31.8,neutral
94,93.8,31.8,neutral
95,93.4,31.7,neutral
96,92.4,31.7,neutral
97,92.1,31.7,neutral
98,91.8,31.7,neutral
99,90.9,31.7,neutral
100,90.1,31.7,neutral
101,89.4,31.7,Low Temperature
102,88.4,31.7,Low Temperature
103,87.8,31.7,Low Temperature
104,86.8,31.7,Low Temperature
105,85.9,31.7,Low Temperature
106,85.4,31.7,Low Temperature
107,84.7,31.7,Low Temperature
108,84.2,31.6,Low Temperature
109,83.2,31.6,Low Temperature
110,82.6,31.6,Low Temperature
111,82.0,31.6,Low Temperature
112,81.4,31.6,Low Temperature
113,81.1,31.6,Low Temperature
114,80.6,31.6,Low Temperature
115,80.4,31.6,Low Temperature
116,80.1,31.6,Low Temperature
117,79.6,31.6,Low Temperature
118,79.3,31.6,Low Temperature
119,78.9,31.6,Low Temperature
120,78.8,31.6,Low Temperature
121,78.8,31.6,Low Temperature
122,78.8,31.6,Low Temperature
123,77.9,31.6,Low Temperature
124,77.3,31.5,Low Temperature
125,77.1,31.5,Low Temperature
126,76.9,31.5,Low Temperature
127,77.0,31.5,Low Temperature
128,77.0,31.5,Low Temperature
129,77.0,31.5,Low Temperature
130,76.6,31.5,Low Temperature
131,76.2,31.5,Low Temperature
132,75.9,31.5,Low Temperature
133,75.6,31.5,Low Temperature
134,75.4,31.5,Low Temperature
135,75.2,31.5,Low Temperature
136,75.1,31.5,Low Temperature
137,75.3,31.5,Low Temperature
138,75.4,31.5,Low Temperature
139,75.3,31.5,Low Temperature
140,75.3,31.5,Low Temperature
141,75.3,31.5,Low Temperature
142,75.2,31.5,Low Temperature
143,75.0,31.5,Low Temperature
144,74.7,31.5,Low Temperature
145,74.7,31.5,Low Temperature
146,75.1,31.5,Low Temperature
147,75.4,31.5,Low Temperature
148,75.3,31.5,Low Temperature
149,75.3,31.5,Low Temperature
